Image_prompt,Text_prompt,Generated_image,MOS_q,MOS_a,MOS_c,MOS
,"there is a red couch and a table with a lamp on it, thomas kinkade. cute cozy room, warm colored furniture, popular interior design style",MJ_1128_10.jpg,3.2762,2.59,4.01,9.8762
,"there is a red couch and a table with a lamp on it, thomas kinkade. cute cozy room, warm colored furniture, popular interior design style",MJ_1128_11.jpg,3.3067,2.838,3.9625,10.1072
,several trains are parked on the tracks in a train yard,MJ_1129_00.jpg,3.5656,2.85,3.56,9.9756
,several trains are parked on the tracks in a train yard,MJ_1129_01.jpg,3.6478,3.4743,3.38,10.5021
,several trains are parked on the tracks in a train yard,MJ_1129_10.jpg,3.7738,3.2817,3.4,10.4555
,several trains are parked on the tracks in a train yard,MJ_1129_11.jpg,3.582,3.5617,3.8025,10.9462
,bridge over a body of water with a boat in the water,MJ_1130_00.jpg,3.0367,2.1033,3.562,8.702
,bridge over a body of water with a boat in the water,MJ_1130_01.jpg,2.7114,2.13,3.612,8.4534
,bridge over a body of water with a boat in the water,MJ_1130_10.jpg,3.12,2.21,3.876,9.206
,bridge over a body of water with a boat in the water,MJ_1130_11.jpg,3.1543,2.4825,3.9688,9.6056
,there are many corns in a basket on the table,MJ_1131_00.jpg,3.6775,3.5512,4.0822,11.3109
,there are many corns in a basket on the table,MJ_1131_01.jpg,3.9122,3.326,4.0088,11.247
,there are many corns in a basket on the table,MJ_1131_10.jpg,3.8533,3.21,4.1511,11.2144
,there are many corns in a basket on the table,MJ_1131_11.jpg,3.735,3.4667,3.887,11.0887
,there is a microphone with headphones on it and a microphone stand,MJ_1132_00.jpg,3.776,3.4875,3.8386,11.1021
,there is a microphone with headphones on it and a microphone stand,MJ_1132_01.jpg,3.6825,2.9967,3.9271,10.6063
,there is a microphone with headphones on it and a microphone stand,MJ_1132_10.jpg,3.47,2.722,3.8086,10.0006
,there is a microphone with headphones on it and a microphone stand,MJ_1132_11.jpg,3.62,3.345,3.95,10.915
,mortar and pestle with leaves on a white table,MJ_1133_00.jpg,3.872,3.2357,4.0288,11.1365
,mortar and pestle with leaves on a white table,MJ_1133_01.jpg,3.3814,2.9029,3.8067,10.091
,mortar and pestle with leaves on a white table,MJ_1133_10.jpg,3.9086,3.6183,3.91,11.4369
,mortar and pestle with leaves on a white table,MJ_1133_11.jpg,3.51,3.6271,3.9729,11.11
,mountain with a snow covered peak in the distance,MJ_1134_00.jpg,3.55,2.8325,4.0244,10.4069
,mountain with a snow covered peak in the distance,MJ_1134_01.jpg,3.3075,2.865,4.0038,10.1763
,mountain with a snow covered peak in the distance,MJ_1134_10.jpg,3.31,2.8917,3.9762,10.1779
,mountain with a snow covered peak in the distance,MJ_1134_11.jpg,3.63,3.6717,4.0612,11.3629
,a red mushroom on a mossy ground in the woods,MJ_1135_00.jpg,3.9562,3.8189,4.0546,11.8297
,a red mushroom on a mossy ground in the woods,MJ_1135_01.jpg,4.05,3.834,4.2222,12.1062
,a red mushroom on a mossy ground in the woods,MJ_1135_10.jpg,4.0767,3.8343,4.041,11.952
,a red mushroom on a mossy ground in the woods,MJ_1135_11.jpg,3.9971,3.436,3.995,11.4281
,a man sitting on a stool playing an accordion,MJ_1136_00.jpg,3.58,2.955,4.22,10.755
,a man sitting on a stool playing an accordion,MJ_1136_01.jpg,3.8038,2.465,4.0467,10.3155
,a man sitting on a stool playing an accordion,MJ_1136_10.jpg,3.475,3.0883,4.0238,10.5871
,a man sitting on a stool playing an accordion,MJ_1136_11.jpg,3.445,2.926,4.0814,10.4524
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",MJ_1137_00.jpg,3.466,2.62,4.0683,10.1543
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",MJ_1137_01.jpg,3.8175,3.162,3.97,10.9495
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",MJ_1137_10.jpg,3.754,2.96,4.0075,10.7215
,"a building with a large painting on the side, buddhist architecture, vietnamese temple scene, thai temple",MJ_1137_11.jpg,3.8478,3.265,3.916,11.0288
,panda bear sitting on a log in a forest with trees,MJ_1138_00.jpg,3.23,3.1467,3.94,10.3167
,panda bear sitting on a log in a forest with trees,MJ_1138_01.jpg,3.352,2.695,3.9344,9.9814
,panda bear sitting on a log in a forest with trees,MJ_1138_10.jpg,3.45,3.3,3.99,10.74
,panda bear sitting on a log in a forest with trees,MJ_1138_11.jpg,3.4488,3.0243,4.065,10.5381
,a telescope on a pole with a building in the background,MJ_1139_00.jpg,2.9025,2.18,4.0256,9.1081
,a telescope on a pole with a building in the background,MJ_1139_01.jpg,3.544,2.88,4.0583,10.4823
,a telescope on a pole with a building in the background,MJ_1139_10.jpg,2.7729,2.4967,3.73,8.9996
,a telescope on a pole with a building in the background,MJ_1139_11.jpg,2.6171,2.1862,3.4067,8.21
,there are some oak acorns hanging from a tree branch with leaves,MJ_1140_00.jpg,3.7033,3.5475,3.9814,11.2322
,there are some oak acorns hanging from a tree branch with leaves,MJ_1140_01.jpg,3.4443,3.2629,4.0188,10.726
,there are some oak acorns hanging from a tree branch with leaves,MJ_1140_10.jpg,3.8883,2.996,4.1525,11.0368
,there are some oak acorns hanging from a tree branch with leaves,MJ_1140_11.jpg,3.776,3.5014,4.064,11.3414
,a stack of macarons on a table,MJ_1141_00.jpg,3.7412,3.7967,4.0367,11.5746
,a stack of macarons on a table,MJ_1141_01.jpg,3.644,3.8444,4.0156,11.504
,a stack of macarons on a table,MJ_1141_10.jpg,3.925,3.826,4.3588,12.1098
,a stack of macarons on a table,MJ_1141_11.jpg,3.992,3.8386,4.0478,11.8784
,truck driving down a dirt road,MJ_1142_00.jpg,3.6114,3.1867,4.011,10.8091
,truck driving down a dirt road,MJ_1142_01.jpg,3.188,3.178,4.0409,10.4069
,truck driving down a dirt road,MJ_1142_10.jpg,3.5629,3.215,4.0914,10.8693
,truck driving down a dirt road,MJ_1142_11.jpg,3.69,3.1243,4.165,10.9793
,there is a ping-pong paddle and a ping-pong ball on the table,MJ_1143_00.jpg,2.828,1.882,2.6757,7.3857
,there is a ping-pong paddle and a ping-pong ball on the table,MJ_1143_01.jpg,2.3043,1.7133,2.7275,6.7451
,there is a ping-pong paddle and a ping-pong ball on the table,MJ_1143_10.jpg,2.606,1.882,2.0829,6.5709
,there is a ping-pong paddle and a ping-pong ball on the table,MJ_1143_11.jpg,3.0883,2.4367,2.7414,8.2664
,a bunch of needles on a table,MJ_1144_00.jpg,3.17,3.056,3.16,9.386
,a bunch of needles on a table,MJ_1144_01.jpg,3.16,3.025,3.716,9.901
,a bunch of needles on a table,MJ_1144_10.jpg,3.2,2.6312,2.9775,8.8087
,a bunch of needles on a table,MJ_1144_11.jpg,3.2538,2.932,3.5325,9.7183
,windmills in a field at sunset with mountains in the background,MJ_1145_00.jpg,3.414,2.7,3.9844,10.0984
,windmills in a field at sunset with mountains in the background,MJ_1145_01.jpg,3.5675,2.7933,3.9612,10.322
,windmills in a field at sunset with mountains in the background,MJ_1145_10.jpg,3.824,3.255,3.93,11.009
,windmills in a field at sunset with mountains in the background,MJ_1145_11.jpg,3.11,2.346,3.656,9.112
,a split pomegranate,MJ_1146_00.jpg,3.5475,3.158,3.77,10.4755
,a split pomegranate,MJ_1146_01.jpg,3.7543,3.4717,4.08,11.306
,a split pomegranate,MJ_1146_10.jpg,3.5471,3.4414,4.0229,11.0114
,a split pomegranate,MJ_1146_11.jpg,3.9467,3.3817,3.9843,11.3127
,a pot with steam rising out of it,MJ_1147_00.jpg,3.73,3.17,4.0262,10.9262
,a pot with steam rising out of it,MJ_1147_01.jpg,3.7257,3.44,4.0783,11.244
,a pot with steam rising out of it,MJ_1147_10.jpg,3.7937,3.5233,4.0567,11.3737
,a pot with steam rising out of it,MJ_1147_11.jpg,3.532,3.66,3.9583,11.1503
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",MJ_1148_00.jpg,3.72,3.565,4.063,11.348
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",MJ_1148_01.jpg,3.9525,3.7829,3.83,11.5654
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",MJ_1148_10.jpg,3.8767,3.3971,3.9017,11.1755
,"someone is making a vase on a potters wheel with a small piece of clay, handmade pottery, hand built ceramics",MJ_1148_11.jpg,3.865,3.4,4.0789,11.3439
,tennis racket and two tennis balls on a tennis court,MJ_1149_00.jpg,3.77,3.1567,3.5325,10.4592
,tennis racket and two tennis balls on a tennis court,MJ_1149_01.jpg,3.0633,2.9775,3.8245,9.8653
,tennis racket and two tennis balls on a tennis court,MJ_1149_10.jpg,3.0683,2.693,3.074,8.8353
,tennis racket and two tennis balls on a tennis court,MJ_1149_11.jpg,2.972,2.8733,3.574,9.4193
,yellow canola flowers in a field with a blue sky in the background,MJ_1150_00.jpg,3.78,3.746,4.0178,11.5438
,yellow canola flowers in a field with a blue sky in the background,MJ_1150_01.jpg,3.7683,3.8314,4.1867,11.7864
,yellow canola flowers in a field with a blue sky in the background,MJ_1150_10.jpg,4.11,3.495,4.2218,11.8268
,yellow canola flowers in a field with a blue sky in the background,MJ_1150_11.jpg,3.745,3.688,4.0744,11.5074
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",MJ_1151_00.jpg,3.77,3.476,4.0767,11.3227
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",MJ_1151_01.jpg,3.7122,3.5325,4.1643,11.409
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",MJ_1151_10.jpg,3.4925,3.2325,4.1467,10.8717
,"space shuttle on a platform with a blue sky in the background, big booster rocket engines, nasa space tourism",MJ_1151_11.jpg,3.722,3.9186,4.1822,11.8228
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",MJ_1152_00.jpg,3.9287,3.3633,3.9233,11.2153
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",MJ_1152_01.jpg,3.715,3.3967,3.955,11.0667
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",MJ_1152_10.jpg,3.7083,3.75,3.7125,11.1708
,"there is a white rocking chair and a table on the sidewalk, brushed white and blue paint, made of wrought iron",MJ_1152_11.jpg,3.7825,3.92,3.999,11.7015
,there are pink carnations,MJ_1153_00.jpg,3.84,3.31,4.1527,11.3027
,there are pink carnations,MJ_1153_01.jpg,3.5133,3.56,4.2444,11.3177
,there are pink carnations,MJ_1153_10.jpg,3.6133,3.43,4.1143,11.1576
,there are pink carnations,MJ_1153_11.jpg,3.806,3.5914,4.2471,11.6445
,sailboat with a colorful sail on the water with a man sitting on the sail,MJ_1154_00.jpg,3.568,2.6233,4.1162,10.3075
,sailboat with a colorful sail on the water with a man sitting on the sail,MJ_1154_01.jpg,3.5367,2.545,4.1433,10.225
,sailboat with a colorful sail on the water with a man sitting on the sail,MJ_1154_10.jpg,3.2333,2.36,3.926,9.5193
,sailboat with a colorful sail on the water with a man sitting on the sail,MJ_1154_11.jpg,3.0525,2.615,3.9525,9.62
,there are several different colored liquids in glass bottles next to corn,MJ_1155_00.jpg,3.52,3.1283,3.7886,10.4369
,there are several different colored liquids in glass bottles next to corn,MJ_1155_01.jpg,3.035,2.794,3.0743,8.9033
,there are several different colored liquids in glass bottles next to corn,MJ_1155_10.jpg,2.72,2.5843,3.148,8.4523
,there are several different colored liquids in glass bottles next to corn,MJ_1155_11.jpg,3.2157,2.8125,3.075,9.1032
,a couple of nuts and a bolt on a ground,MJ_1156_00.jpg,3.355,3.31,3.885,10.55
,a couple of nuts and a bolt on a ground,MJ_1156_01.jpg,3.276,3.045,3.915,10.236
,a couple of nuts and a bolt on a ground,MJ_1156_10.jpg,2.338,1.8125,2.752,6.9025
,a couple of nuts and a bolt on a ground,MJ_1156_11.jpg,2.61,1.5187,3.16,7.2887
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",MJ_1157_00.jpg,3.7783,3.4017,3.85,11.03
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",MJ_1157_01.jpg,3.7367,3.68,3.4243,10.841
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",MJ_1157_10.jpg,3.8644,3.7567,4.05,11.6711
,"there is a blue vase with a pattern of white flowers on the surface sitting on a table, style of chinese vase",MJ_1157_11.jpg,4.0183,3.64,3.9183,11.5766
,cargo ship in the water with mountains in the background,MJ_1158_00.jpg,3.488,2.7925,3.9975,10.278
,cargo ship in the water with mountains in the background,MJ_1158_01.jpg,3.4517,2.898,4.0057,10.3554
,cargo ship in the water with mountains in the background,MJ_1158_10.jpg,3.24,2.618,4,9.858
,cargo ship in the water with mountains in the background,MJ_1158_11.jpg,3.6283,2.99,4.1671,10.7854
,a pencil and ruler on a blueprint,MJ_1159_00.jpg,3.845,3.5,3.9067,11.2517
,a pencil and ruler on a blueprint,MJ_1159_01.jpg,3.9671,4.014,4.09,12.0711
,a pencil and ruler on a blueprint,MJ_1159_10.jpg,3.19,3.36,3.426,9.976
,a pencil and ruler on a blueprint,MJ_1159_11.jpg,3.824,3.19,3.7625,10.7765
,skier in black jacket riding on snowmobile in open field,MJ_1160_00.jpg,3.9064,3.895,4.2075,12.0089
,skier in black jacket riding on snowmobile in open field,MJ_1160_01.jpg,3.6717,3.5167,3.9286,11.117
,skier in black jacket riding on snowmobile in open field,MJ_1160_10.jpg,3.89,3.9063,4.105,11.9013
,skier in black jacket riding on snowmobile in open field,MJ_1160_11.jpg,4.008,3.7143,4.1843,11.9066
,a sock on a book with a white background,MJ_1161_00.jpg,3.16,2.892,3.7867,9.8387
,a sock on a book with a white background,MJ_1161_01.jpg,3.5657,3.15,3.8917,10.6074
,a sock on a book with a white background,MJ_1161_10.jpg,3.3767,2.73,3.34,9.4467
,a sock on a book with a white background,MJ_1161_11.jpg,2.1,1.7117,2.6625,6.4742
,"a plate with various spices and nuts, folk medicine",MJ_1162_00.jpg,3.29,3.6775,3.8771,10.8446
,"a plate with various spices and nuts, folk medicine",MJ_1162_01.jpg,4.0111,4.0543,4.1918,12.2572
,"a plate with various spices and nuts, folk medicine",MJ_1162_10.jpg,3.8378,3.5457,4.1112,11.4947
,"a plate with various spices and nuts, folk medicine",MJ_1162_11.jpg,3.7933,3.545,4.1457,11.484
,starfish are arranged on the ground with shells all around,MJ_1163_00.jpg,3.9,3.5917,3.9137,11.4054
,starfish are arranged on the ground with shells all around,MJ_1163_01.jpg,3.464,2.9375,4.08,10.4815
,starfish are arranged on the ground with shells all around,MJ_1163_10.jpg,3.582,3.2333,4.1589,10.9742
,starfish are arranged on the ground with shells all around,MJ_1163_11.jpg,3.714,3.325,3.87,10.909
,a bunch of strawberries sitting on top of a table,MJ_1164_00.jpg,3.3886,3.0525,3.8443,10.2854
,a bunch of strawberries sitting on top of a table,MJ_1164_01.jpg,3.4933,3.4333,4.2033,11.1299
,a bunch of strawberries sitting on top of a table,MJ_1164_10.jpg,3.43,2.5575,3.9275,9.915
,a bunch of strawberries sitting on top of a table,MJ_1164_11.jpg,2.7438,2.3983,4.0843,9.2264
,there is a sundialer sitting on a pedestal in a garden,MJ_1165_00.jpg,3.29,3.618,3.665,10.573
,there is a sundialer sitting on a pedestal in a garden,MJ_1165_01.jpg,3.646,3.36,2.97,9.976
,there is a sundialer sitting on a pedestal in a garden,MJ_1165_10.jpg,2.9167,2.885,3.1178,8.9195
,there is a sundialer sitting on a pedestal in a garden,MJ_1165_11.jpg,3.558,2.9643,3.7317,10.254
,there is a wooden wagon sitting in the middle of a field with grass,MJ_1166_00.jpg,3.558,3.515,4.1722,11.2452
,there is a wooden wagon sitting in the middle of a field with grass,MJ_1166_01.jpg,3.6843,2.87,4.108,10.6623
,there is a wooden wagon sitting in the middle of a field with grass,MJ_1166_10.jpg,3.6312,3.2,3.9114,10.7426
,there is a wooden wagon sitting in the middle of a field with grass,MJ_1166_11.jpg,3.6029,3.1025,4.1318,10.8372
,there is a teddy bear sitting on the ground,MJ_1167_00.jpg,3.8433,3.75,4.0917,11.685
,there is a teddy bear sitting on the ground,MJ_1167_01.jpg,4.0729,3.868,4.0722,12.0131
,there is a teddy bear sitting on the ground,MJ_1167_10.jpg,4.173,4.068,4.085,12.326
,there is a teddy bear sitting on the ground,MJ_1167_11.jpg,3.928,3.9217,4.024,11.8737
,tomatoes on the vine with water droplets on them,MJ_1168_00.jpg,3.9712,4.08,4.2675,12.3187
,tomatoes on the vine with water droplets on them,MJ_1168_01.jpg,3.9444,3.8544,4.1862,11.985
,tomatoes on the vine with water droplets on them,MJ_1168_10.jpg,3.86,3.7888,4.1718,11.8206
,tomatoes on the vine with water droplets on them,MJ_1168_11.jpg,3.8975,3.977,4.2186,12.0931
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",MJ_1169_00.jpg,3.1133,2.792,4.133,10.0383
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",MJ_1169_01.jpg,3.2367,2.776,4.0067,10.0194
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",MJ_1169_10.jpg,3.4,2.7083,4.1088,10.2171
,"there is a tractor that is sitting in the middle of a field, farming, farm field background",MJ_1169_11.jpg,3.195,2.336,3.8225,9.3535
,steam trains on a bridge with smoke coming out of it,MJ_1170_00.jpg,3.6633,3.074,4.1733,10.9106
,steam trains on a bridge with smoke coming out of it,MJ_1170_01.jpg,3.392,3.225,4.1967,10.8137
,steam trains on a bridge with smoke coming out of it,MJ_1170_10.jpg,3.378,3.2,4.1033,10.6813
,steam trains on a bridge with smoke coming out of it,MJ_1170_11.jpg,3.6243,3.1617,4.13,10.916
,"trolley car on a city street with people walking around, the city of lisbon",MJ_1171_00.jpg,3.4867,3.1133,4.11,10.71
,"trolley car on a city street with people walking around, the city of lisbon",MJ_1171_01.jpg,3.11,2.375,4.045,9.53
,"trolley car on a city street with people walking around, the city of lisbon",MJ_1171_10.jpg,3.4575,2.995,4.1729,10.6254
,"trolley car on a city street with people walking around, the city of lisbon",MJ_1171_11.jpg,3.7969,3.4533,4.036,11.2862
,a branch of a cherry tree with pink flowers,MJ_1172_00.jpg,4.0718,4.0844,4.1856,12.3418
,a branch of a cherry tree with pink flowers,MJ_1172_01.jpg,3.945,3.654,4.0818,11.6808
,a branch of a cherry tree with pink flowers,MJ_1172_10.jpg,3.815,3.7517,4.1956,11.7623
,a branch of a cherry tree with pink flowers,MJ_1172_11.jpg,3.9325,3.8811,4.1875,12.0011
,a bunch of bananas,MJ_1173_00.jpg,3.424,2.8288,3.975,10.2278
,a bunch of bananas,MJ_1173_01.jpg,3.65,3.222,3.945,10.817
,a bunch of bananas,MJ_1173_10.jpg,3.232,2.87,4.025,10.127
,a bunch of bananas,MJ_1173_11.jpg,3.3833,2.5933,3.895,9.8716
,there is a cucumber growing on a vine with a leaf,MJ_1174_00.jpg,3.51,2.3767,3.7875,9.6742
,there is a cucumber growing on a vine with a leaf,MJ_1174_01.jpg,3.385,3.2117,4.1225,10.7192
,there is a cucumber growing on a vine with a leaf,MJ_1174_10.jpg,3.5683,3.1625,3.77,10.5008
,there is a cucumber growing on a vine with a leaf,MJ_1174_11.jpg,2.7633,2.236,3.87,8.8693
,scorpion on the sand with a black tail,MJ_1175_00.jpg,3.2867,2.3725,3.5675,9.2267
,scorpion on the sand with a black tail,MJ_1175_01.jpg,2.9167,2.13,3.5475,8.5942
,scorpion on the sand with a black tail,MJ_1175_10.jpg,3.0525,2.7925,3.5875,9.4325
,scorpion on the sand with a black tail,MJ_1175_11.jpg,2.722,2.1833,3.1786,8.0839
,someone holding two cones of ice cream in their hands,MJ_1176_00.jpg,3.924,3.9483,4.12,11.9923
,someone holding two cones of ice cream in their hands,MJ_1176_01.jpg,3.8725,3.3025,4.218,11.393
,someone holding two cones of ice cream in their hands,MJ_1176_10.jpg,3.455,1.84,3.605,8.9
,someone holding two cones of ice cream in their hands,MJ_1176_11.jpg,3.3067,3.7211,3.945,10.9728
,there are many pineapples that are sitting on the ground,MJ_1177_00.jpg,3.438,3.175,4.0133,10.6263
,there are many pineapples that are sitting on the ground,MJ_1177_01.jpg,3.4671,3.085,3.9888,10.5409
,there are many pineapples that are sitting on the ground,MJ_1177_10.jpg,3.535,3.5017,4.0425,11.0792
,there are many pineapples that are sitting on the ground,MJ_1177_11.jpg,3.8167,3.8389,4.1457,11.8013
,raccoon standing on a rock in a stream of water,MJ_1178_00.jpg,3.8933,3.58,3.99,11.4633
,raccoon standing on a rock in a stream of water,MJ_1178_01.jpg,3.928,3.4833,4.0086,11.4199
,raccoon standing on a rock in a stream of water,MJ_1178_10.jpg,3.9962,3.6414,3.8233,11.4609
,raccoon standing on a rock in a stream of water,MJ_1178_11.jpg,3.852,3.5575,3.9356,11.3451
,there are some sea cucumber and lettuce on a plate on a table,MJ_1179_00.jpg,2.4725,1.7557,2.3214,6.5496
,there are some sea cucumber and lettuce on a plate on a table,MJ_1179_01.jpg,2.806,2.37,2.5175,7.6935
,there are some sea cucumber and lettuce on a plate on a table,MJ_1179_10.jpg,2.882,2.6088,2.5967,8.0875
,there are some sea cucumber and lettuce on a plate on a table,MJ_1179_11.jpg,2.1689,1.4888,2.252,5.9097
,there are many sunflowers that are blooming in the field,MJ_1180_00.jpg,3.955,3.1333,4.07,11.1583
,there are many sunflowers that are blooming in the field,MJ_1180_01.jpg,3.1875,2.6471,3.828,9.6626
,there are many sunflowers that are blooming in the field,MJ_1180_10.jpg,3.7383,3.37,4.1878,11.2961
,there are many sunflowers that are blooming in the field,MJ_1180_11.jpg,3.2986,2.526,3.915,9.7396
,"a window in a dark room with a light coming through it, dramatic backlit window",MJ_1181_00.jpg,3.9912,3.8233,4.286,12.1005
,"a window in a dark room with a light coming through it, dramatic backlit window",MJ_1181_01.jpg,3.648,3.4775,4.15,11.2755
,"a window in a dark room with a light coming through it, dramatic backlit window",MJ_1181_10.jpg,3.9678,3.7588,4.155,11.8816
,"a window in a dark room with a light coming through it, dramatic backlit window",MJ_1181_11.jpg,3.9745,3.7843,4.292,12.0508
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",MJ_1182_00.jpg,3.934,3.676,4.0333,11.6433
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",MJ_1182_01.jpg,3.882,3.58,3.8483,11.3103
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",MJ_1182_10.jpg,3.7667,3.524,4.1667,11.4574
,"a dimly lit brick tunnel with arched arches in a building, dry archways, archways between stalagtites",MJ_1182_11.jpg,3.642,3.42,3.972,11.034
,a violin on a black surface with a reflection,MJ_1183_00.jpg,3.448,3.015,4.0533,10.5163
,a violin on a black surface with a reflection,MJ_1183_01.jpg,3.5283,2.702,4.0857,10.316
,a violin on a black surface with a reflection,MJ_1183_10.jpg,3.53,3.0633,3.9914,10.5847
,a violin on a black surface with a reflection,MJ_1183_11.jpg,3.31,2.77,3.9717,10.0517
,there is a toilet and a shower in a bathroom with tiled walls,MJ_1184_00.jpg,3.975,3.4375,4.0386,11.4511
,there is a toilet and a shower in a bathroom with tiled walls,MJ_1184_01.jpg,3.8,3.8367,4.21,11.8467
,there is a toilet and a shower in a bathroom with tiled walls,MJ_1184_10.jpg,4.0544,3.7933,4.107,11.9547
,there is a toilet and a shower in a bathroom with tiled walls,MJ_1184_11.jpg,3.88,3.5017,4.05,11.4317
,two boxes are stacked on top of each other on a table,MJ_1185_00.jpg,3.31,3.0367,3.2,9.5467
,two boxes are stacked on top of each other on a table,MJ_1185_01.jpg,3.366,3.1633,3.5533,10.0826
,two boxes are stacked on top of each other on a table,MJ_1185_10.jpg,3.366,3.0167,3.38,9.7627
,two boxes are stacked on top of each other on a table,MJ_1185_11.jpg,3.7733,3.1367,3.1117,10.0217
,there are brooms,MJ_1186_00.jpg,3.7675,3.2244,3.99,10.9819
,there are brooms,MJ_1186_01.jpg,3.3467,3.4,4.0314,10.7781
,there are brooms,MJ_1186_10.jpg,3.59,2.9629,4.225,10.7779
,there are brooms,MJ_1186_11.jpg,3.6086,3.4243,4.1267,11.1596
,a pile of old cassettes on a table,MJ_1187_00.jpg,3.785,3.38,4.0744,11.2394
,a pile of old cassettes on a table,MJ_1187_01.jpg,3.5333,3.495,3.9638,10.9921
,a pile of old cassettes on a table,MJ_1187_10.jpg,3.5544,3.5171,3.9186,10.9901
,a pile of old cassettes on a table,MJ_1187_11.jpg,3.8325,3.59,4.0375,11.46
,a black motorcycle helmet with the number eight on it,MJ_1188_00.jpg,3.43,3.132,3.9633,10.5253
,a black motorcycle helmet with the number eight on it,MJ_1188_01.jpg,3.015,2.87,3.472,9.357
,a black motorcycle helmet with the number eight on it,MJ_1188_10.jpg,3.8771,3.6575,4.0675,11.6021
,a black motorcycle helmet with the number eight on it,MJ_1188_11.jpg,2.72,2.3725,3.535,8.6275
,"there is a man and woman sitting on a bench under a tree, parks and public space",MJ_1189_00.jpg,3.215,2.36,4.1329,9.7079
,"there is a man and woman sitting on a bench under a tree, parks and public space",MJ_1189_01.jpg,3.12,2.4133,4.0533,9.5866
,"there is a man and woman sitting on a bench under a tree, parks and public space",MJ_1189_10.jpg,3.6017,2.9,4.1733,10.675
,"there is a man and woman sitting on a bench under a tree, parks and public space",MJ_1189_11.jpg,3.6325,2.9133,4.0562,10.602
,a pair of gloves,MJ_1190_00.jpg,3.75,3.3367,3.9083,10.995
,a pair of gloves,MJ_1190_01.jpg,2.935,2.8475,3.75,9.5325
,a pair of gloves,MJ_1190_10.jpg,3.2833,3.0367,3.8733,10.1933
,a pair of gloves,MJ_1190_11.jpg,3.31,2.83,3.975,10.115
,a keyboard and mouse on a pink surface,MJ_1191_00.jpg,3.722,3.3867,3.8562,10.9649
,a keyboard and mouse on a pink surface,MJ_1191_01.jpg,3.2433,3.2275,3.84,10.3108
,a keyboard and mouse on a pink surface,MJ_1191_10.jpg,3.3743,3.0986,3.9633,10.4362
,a keyboard and mouse on a pink surface,MJ_1191_11.jpg,3.6363,3.585,4.0683,11.2896
,a man playing drums on the beach,MJ_1192_00.jpg,3.502,3.31,4.1538,10.9658
,a man playing drums on the beach,MJ_1192_01.jpg,3.89,3.5125,4.19,11.5925
,a man playing drums on the beach,MJ_1192_10.jpg,3.9186,3.5167,4.1357,11.571
,a man playing drums on the beach,MJ_1192_11.jpg,3.5,2.648,4.1975,10.3455
,there is a bottle of perfume with a flower on the side,MJ_1193_00.jpg,4.0333,3.75,4.2125,11.9958
,there is a bottle of perfume with a flower on the side,MJ_1193_01.jpg,3.7429,3.546,4.095,11.3839
,there is a bottle of perfume with a flower on the side,MJ_1193_10.jpg,3.704,3.6775,4.024,11.4055
,there is a bottle of perfume with a flower on the side,MJ_1193_11.jpg,3.9775,3.588,4.027,11.5925
,yellow phone booth on sidewalk next to sidewalk with grass and trees,MJ_1194_00.jpg,3.598,2.8467,4.065,10.5097
,yellow phone booth on sidewalk next to sidewalk with grass and trees,MJ_1194_01.jpg,3.6857,3.5591,4.0843,11.3291
,yellow phone booth on sidewalk next to sidewalk with grass and trees,MJ_1194_10.jpg,3.6525,3.4657,4.115,11.2332
,yellow phone booth on sidewalk next to sidewalk with grass and trees,MJ_1194_11.jpg,3.436,3.44,4.088,10.964
,a radio sitting on a table with a blurry background,MJ_1195_00.jpg,3.8033,3.53,4.0957,11.429
,a radio sitting on a table with a blurry background,MJ_1195_01.jpg,3.816,3.7325,4.2117,11.7602
,a radio sitting on a table with a blurry background,MJ_1195_10.jpg,3.9117,3.5475,4.07,11.5292
,a radio sitting on a table with a blurry background,MJ_1195_11.jpg,3.9167,3.824,4.0912,11.8319
